               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  31,            0.035371,            0.025955,           0.0016873,             0.76503,             0.76726,             0.74366,              0.3344,             0.04163,            0.028708,          0.00089214,            0.008145,            0.008145,            0.008145
                  32,            0.036083,            0.028573,           0.0018251,              0.7514,             0.73427,             0.69803,             0.30729,            0.042248,            0.031916,           0.0008851,           0.0080294,           0.0080294,           0.0080294
                  33,            0.035444,            0.028031,           0.0015898,             0.78478,             0.76218,              0.7271,             0.31877,            0.042045,            0.031773,          0.00071041,           0.0079112,           0.0079112,           0.0079112
                  34,            0.035232,             0.02529,           0.0015415,             0.77714,             0.76968,             0.74701,             0.33494,            0.041789,            0.030702,          0.00078802,           0.0077907,           0.0077907,           0.0077907
                  35,             0.03452,            0.027403,           0.0014929,             0.78506,             0.75835,             0.71992,             0.31136,            0.042736,            0.031911,          0.00084995,           0.0076679,           0.0076679,           0.0076679
                  36,            0.035102,            0.027955,            0.001765,             0.80905,             0.78819,             0.79095,             0.31517,            0.042498,            0.028478,           0.0007776,            0.007543,            0.007543,            0.007543
                  37,            0.034374,               0.029,           0.0016075,             0.76388,             0.75596,             0.71812,             0.30944,            0.041981,            0.031681,          0.00077038,            0.007416,            0.007416,            0.007416
                  38,             0.03461,             0.02759,           0.0015297,             0.78376,             0.79127,             0.74254,             0.32323,            0.041849,            0.031844,          0.00083869,           0.0072872,           0.0072872,           0.0072872
                  39,            0.034591,            0.027314,           0.0013295,             0.75551,             0.77165,             0.71713,             0.30696,            0.041481,            0.031965,           0.0008006,           0.0071566,           0.0071566,           0.0071566
                  40,            0.033863,            0.028177,            0.001453,             0.74337,             0.75624,             0.69942,              0.2961,            0.042724,            0.032673,          0.00087457,           0.0070243,           0.0070243,           0.0070243
                  41,             0.03338,            0.026456,           0.0013684,             0.82116,             0.81142,             0.79665,             0.34821,            0.039769,            0.029712,          0.00092077,           0.0068906,           0.0068906,           0.0068906
                  42,            0.033124,            0.025651,           0.0014579,             0.78732,             0.77687,             0.74026,             0.31685,            0.041228,            0.031147,          0.00085611,           0.0067555,           0.0067555,           0.0067555
                  43,            0.032763,            0.025961,           0.0015736,             0.78241,             0.77504,             0.74146,             0.32601,            0.040717,            0.031239,          0.00091972,           0.0066191,           0.0066191,           0.0066191
                  44,            0.032865,            0.025888,           0.0011937,             0.76466,             0.76626,             0.71707,             0.31613,            0.043312,            0.031437,          0.00070753,           0.0064816,           0.0064816,           0.0064816
                  45,            0.032795,            0.025912,          0.00095516,             0.74955,             0.74457,             0.69925,             0.30718,            0.043474,            0.033969,          0.00079143,           0.0063432,           0.0063432,           0.0063432
                  46,            0.032041,            0.024966,           0.0010192,              0.7876,             0.77257,             0.74464,             0.31159,             0.04191,            0.031349,          0.00078178,            0.006204,            0.006204,            0.006204
                  47,            0.032634,            0.025947,           0.0010252,             0.79574,              0.7866,             0.75448,             0.32827,            0.040313,             0.03068,          0.00070978,            0.006064,            0.006064,            0.006064
                  48,            0.032644,            0.027954,           0.0013035,              0.7645,             0.75939,             0.70563,             0.32641,            0.041291,            0.032745,          0.00081052,           0.0059235,           0.0059235,           0.0059235
                  49,            0.032035,            0.025665,           0.0012837,             0.76389,             0.77455,             0.72017,             0.31951,            0.042092,            0.033197,          0.00084323,           0.0057826,           0.0057826,           0.0057826
                  50,            0.031354,            0.025221,          0.00091515,             0.79491,              0.7912,             0.73399,             0.33335,            0.040008,            0.030583,          0.00071398,           0.0056413,           0.0056413,           0.0056413
                  51,            0.031491,            0.026082,           0.0010814,             0.79136,             0.80631,              0.7523,             0.33805,            0.039713,            0.031325,          0.00069603,              0.0055,              0.0055,              0.0055
                  52,            0.031251,            0.025876,           0.0010409,             0.80591,             0.78092,             0.74053,             0.32373,            0.042085,            0.033606,          0.00069332,           0.0053587,           0.0053587,           0.0053587
                  53,            0.031157,            0.024936,           0.0011638,             0.72252,             0.71669,             0.64973,             0.29981,            0.044604,            0.037038,          0.00089769,           0.0052174,           0.0052174,           0.0052174
                  54,            0.030023,            0.024203,           0.0010053,             0.74979,             0.76089,              0.7065,             0.31601,             0.04247,            0.033239,          0.00076008,           0.0050765,           0.0050765,           0.0050765
                  55,            0.030962,            0.026265,           0.0010119,             0.77707,             0.74419,             0.70805,             0.31397,            0.042789,            0.033833,          0.00071853,            0.004936,            0.004936,            0.004936
                  56,            0.030227,            0.025047,          0.00095092,             0.78056,             0.78574,             0.73915,             0.32131,            0.042022,            0.033385,          0.00083202,            0.004796,            0.004796,            0.004796
                  57,            0.030671,            0.024274,          0.00083798,             0.76056,             0.75455,             0.70202,             0.31289,            0.042613,             0.03198,          0.00071581,           0.0046568,           0.0046568,           0.0046568
                  58,            0.030714,            0.025955,             0.00104,             0.77172,             0.76017,             0.70778,             0.31779,             0.04225,            0.034231,          0.00078788,           0.0045184,           0.0045184,           0.0045184
